COLLECTION,ADDRESS,TOKENID,BUYER
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,47,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,48,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde35e9324E6A81809B07815F29E9913983E02377,49,0xde35e9324E6A81809B07815F29E9913983E02377
CastleDAO,0x184cC5908E1a3D29B4D31df67d99622C4Baa7b71,50,0x184cC5908E1a3D29B4D31df67d99622C4Baa7b71
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,51,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,52,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,53,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,54,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x4f5967C9C84234C7984F0Fb72426e12DAF0a7784,55,0x4f5967C9C84234C7984F0Fb72426e12DAF0a7784
CastleDAO,0x00C67d9D6D3D13b42a87424E145826c467CcCd84,56,0x00C67d9D6D3D13b42a87424E145826c467CcCd84
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,57,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x91816afc260994D7802542079AC9564c1E7A90a9,58,0x91816afc260994D7802542079AC9564c1E7A90a9
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,59,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,60,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,61,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,62,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,63,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,64,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,65,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,66,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xe8C148209ADD124eE57199991E90a3b829A136aA,67,0xe8C148209ADD124eE57199991E90a3b829A136aA
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,68,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0x91609451B6a5775608787f3Da9501104935D3b25,69,0x91609451B6a5775608787f3Da9501104935D3b25
CastleDAO,0x68c7dFd627f01D1fEf512c3F1b1CEf46ed78B377,70,0x68c7dFd627f01D1fEf512c3F1b1CEf46ed78B377
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,71,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,72,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,73,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,74,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,75,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xe8C148209ADD124eE57199991E90a3b829A136aA,76,0xe8C148209ADD124eE57199991E90a3b829A136aA
CastleDAO,0x91816afc260994D7802542079AC9564c1E7A90a9,77,0x91816afc260994D7802542079AC9564c1E7A90a9
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,78,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,79,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xF3881E1a018CcC24F1c78aeD70a4b84dB04c05E4,80,0xF3881E1a018CcC24F1c78aeD70a4b84dB04c05E4
CastleDAO,0xbb64cba2A8EEc6B378fdaaBE3B12566264987Fa8,81,0xbb64cba2A8EEc6B378fdaaBE3B12566264987Fa8
CastleDAO,0x678BB384442ADfc954C700eDdF028C9332659F44,82,0x678BB384442ADfc954C700eDdF028C9332659F44
CastleDAO,0x2F65B176B48c85C7A89ED509955817EE468fBFF2,83,0x2F65B176B48c85C7A89ED509955817EE468fBFF2
CastleDAO,0x2F65B176B48c85C7A89ED509955817EE468fBFF2,84,0x2F65B176B48c85C7A89ED509955817EE468fBFF2
CastleDAO,0x2F65B176B48c85C7A89ED509955817EE468fBFF2,85,0x2F65B176B48c85C7A89ED509955817EE468fBFF2
CastleDAO,0x9fb358896C9B2f872be9006E80bBAa810b8E142d,86,0x9fb358896C9B2f872be9006E80bBAa810b8E142d
CastleDAO,0x472D4BB557E653c1842aEA6C16E0510085dDCdf9,87,0x472D4BB557E653c1842aEA6C16E0510085dDCdf9
CastleDAO,0xa69F670EA591F11BED8DE61Ce0E3C014C849feda,88,0xa69F670EA591F11BED8DE61Ce0E3C014C849feda
CastleDAO,0x3dDA89a9B3960E85a40DB64a32CB5dEF8427B7Dd,89,0x3dDA89a9B3960E85a40DB64a32CB5dEF8427B7Dd
CastleDAO,0xCcAC7Ca73Ac0b892bd99B144f8A2bf36fa9fB58d,90,0xCcAC7Ca73Ac0b892bd99B144f8A2bf36fa9fB58d
CastleDAO,0x99CC6d8cE774e402617d6b23a934b6e2062ba30e,91,0x99CC6d8cE774e402617d6b23a934b6e2062ba30e
CastleDAO,0x2F65B176B48c85C7A89ED509955817EE468fBFF2,92,0x2F65B176B48c85C7A89ED509955817EE468fBFF2
CastleDAO,0x2F65B176B48c85C7A89ED509955817EE468fBFF2,93,0x2F65B176B48c85C7A89ED509955817EE468fBFF2
CastleDAO,0xCcAC7Ca73Ac0b892bd99B144f8A2bf36fa9fB58d,94,0xCcAC7Ca73Ac0b892bd99B144f8A2bf36fa9fB58d
CastleDAO,0xB97167440C95fD6df9053B813855d5bDCa557409,95,0xB97167440C95fD6df9053B813855d5bDCa557409
CastleDAO,0x631A688ae6D59af15758F1C148480E9E07271bEC,96,0x631A688ae6D59af15758F1C148480E9E07271bEC
CastleDAO,0x3C9002CdB61C56B89467D94a2D93235DFD698089,97,0x3C9002CdB61C56B89467D94a2D93235DFD698089
CastleDAO,0x99CC6d8cE774e402617d6b23a934b6e2062ba30e,98,0x99CC6d8cE774e402617d6b23a934b6e2062ba30e
CastleDAO,0xc4Ff9c9Eea29f7651BEfB755681023bB393A4FD7,99,0xc4Ff9c9Eea29f7651BEfB755681023bB393A4FD7
CastleDAO,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43,100,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43
CastleDAO,0x91816afc260994D7802542079AC9564c1E7A90a9,101,0x91816afc260994D7802542079AC9564c1E7A90a9
CastleDAO,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7,102,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7
CastleDAO,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7,103,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7
CastleDAO,0x652E61667cfd10B60dE097E7b7461ac651B72789,104,0x652E61667cfd10B60dE097E7b7461ac651B72789
CastleDAO,0x2afB58A22E7D3c241ab7b9A1f68B9e8E74ec9D68,105,0x2afB58A22E7D3c241ab7b9A1f68B9e8E74ec9D68
CastleDAO,0x631A688ae6D59af15758F1C148480E9E07271bEC,106,0x631A688ae6D59af15758F1C148480E9E07271bEC
CastleDAO,0x583Ae442a93b098bbc0556A5e4D892C66aEA6b47,107,0x583Ae442a93b098bbc0556A5e4D892C66aEA6b47
CastleDAO,0x472D4BB557E653c1842aEA6C16E0510085dDCdf9,108,0x472D4BB557E653c1842aEA6C16E0510085dDCdf9
CastleDAO,0x019f4aD7eA31cfa55625094298EE34966d334C7f,109,0x019f4aD7eA31cfa55625094298EE34966d334C7f
CastleDAO,0x5c2420D798B987a7eED1cA762D4C70A2Ed4BeA72,110,0x5c2420D798B987a7eED1cA762D4C70A2Ed4BeA72
CastleDAO,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43,111,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43
